A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
Humphrey Bogart	1899-1957, American film actor, starred in such classics as The Maltese Falcon and Casablanca. "Here's looking at you kid." [Core Set, Party Box]
Husbands & Wives	For richer... hopefully. [Core Expansion 4, Party Box Expansion 1]
Ice & Snow	"We come from the land of the ice and snow/ From the midnight sun where the hot springs blow." - Led Zeppelin [Core Expansion 4, Party Box Expansion 1]
Ice Skating	You can do fancy turns, have a race, go backwards, or just glide. [Kids Set]
Icebergs	May reach 300 to 500 feet above the oceans's surface. Ask the captain of the Titanic about the 90 percent that's UNDER water. [Core Set, Party Box]
In A Coma	A deep, prolonged state of unconsciousness ... sometimes you just feel that way. [Core Expansion 2, Party Box]
In The Basement	You never know what you will find down there. [Kids Set]
In The Doghouse	All told, I'd rather be in the cathouse. [Core Expansion 3, Party Box Expansion 1]
Incense	Incense is better than no sense at all. [Core Expansion 1, Party Box]
India	The world's seventh largest country by area, but the second most populous, with one billion people. [Core Expansion 2, Party Box]
Indiana Jones	Fictional archeologist and action hero. Proof that a good hat and a whip can take you a long way. [Core Expansion 2, Party Box]
Industrial Revolution	The first Industrial Revolution occurred in Great Britain at the end of the 1700s. The second came with the invention of the "Clapper." [Core Set, Party Box]
Infomercials	One of these days, one of them may even say something informative. [Core Set, Party Box]
Intellectuals	They think they're so smart. [Core Expansion 2, Party Box]
Ireland	Island of the British Isles, west of Great Britain. Known for its distinctive traditional dance and music. [Core Expansion 2, Party Box]
Irrational Fears	What's that sound? [Core Expansion 3, Party Box Expansion 1]
Israel	Located on the Mediterranean, the state of Israel was reated by a 1948 U.N. mandate. [Core Expansion 2, Party Box]
Italy	European Republic, shaped like a boot - a very fashionable boot. [Core Set, Party Box]
Jack Nicholson	1937- , American motion-picture actor of "Chinatown," "Terms Of Endearment" and "The Shining." He's as good as it gets! [Core Expansion 1, Party Box]
Jack The Ripper	Accused of murdering six women in 1888, and suspected in other murders. Still at large. [Core Expansion 1, Party Box]
Jackie Chan	1954-, actor, director, martial artist. Screen name, Sing Lung, means "Becoming the Dragon." That's "MISTER Becoming the Dragon" to you! [Core Expansion 1, Party Box]
Jacques Cousteau	1910-97, French naval officer, marine explorer, and author. Best known as a documentary filmmaker. [Core Set, Party Box]
Jamaica	Third largest island of the Greater Antilles, south of Cuba. Tropical climate, reggae music, and jerk cooking. [Core Expansion 2, Party Box]
James Bond	Fictional British secret agent created by English author Ian Fleming. Shaken, but never stirred. [Core Set, Party Box]
James Dean	1931-55, American actor of film, stage, and television. His role in Rebel Without a Cause helped define "cool." [Core Set, Party Box]
Japan	An Asian constitutional monarchy. The capital city is Tokyo. Let's see ... sushi, Godzilla, earthquakes ... [Core Set, Party Box]
Japanese	How many Japanese does it take to screw in a light bulb? Who needs light bulbs when you've got OUR new technology! [Core Set, Party Box]
Jelly Beans	Well, as long as we HAVE to eat our vegetables ... [Core Expansion 1, Party Box]
Jenna & Barbara	President Bush's daughters, the "First Twins." [Core Expansion 4, Party Box Expansion 1]
Jennifer Lopez	1970-, American singer and actor of Selena, Money Train, and Maid In Manhattan. [Core Expansion 2, Party Box]
Jerry Springer	1944- , controversial talk-show host. Don't those people know that millions of us are watching? [Core Expansion 1, Party Box]
Jesse Jackson	1941-, American civil rights leader. Named to "The Gallup List of Ten Most Respected by Americans" for ten years. [Core Expansion 1, Party Box]
Jesse Ventura	1951-, wrestler, Navy Seal, and former governor of Minnesota. Author of I Ain't Got Time To Bleed. [Core Expansion 1, Party Box]
Jim Carrey	1962- , Canadian comedian and actor. Famous for outrageous faces, and dumb and dumber characters. [Core Expansion 1, Party Box]
Jimmy Stewart	1908-97, America's favorite self-image. Mr. Smith Goes to Washington, Rear Window, Vertigo, and It's a Wonderful Life, ... and it probably was. [Core Expansion 2, Party Box]
Joan Of Arc	1412-31, patron saint of France who decisively turned the tide of the Hundred Years' War, which really burned her up. [Core Set, Party Box]
Jodie Foster	1962- , American actor began her career on Mayberry, R.F.D. and went on to win Academy Awards for The Accused and Silence Of The Lambs. [Core Expansion 2, Party Box]
John F. Kennedy	1917-63, 35th president of the US. "Ask not what your country can do for you; ask what you can do for your country." [Core Set, Party Box]
John Glenn	1921- , The first U.S. astronaut to orbit the earth in 1962, and a U.S. Senator. Never too old to shoot for the moon! [Core Expansion 2, Party Box]
John Philip Sousa	1854-1932, American bandmaster and composer of Stars and Stripes Forever. Known as "The March King." [Core Expansion 2, Party Box]
John Travolta	1954 - , American actor of "Welcome Back, Kotter," "Grease," "Saturday Night Fever" and "Pulp Fiction." That man can dance! [Core Expansion 1, Party Box]
John Wayne	1907-79, legendary American actor, "The Duke" starred in such classics as Stagecoach, The Sands of Iwo Jima and True Grit. [Core Expansion 3, Party Box Expansion 1]
Johnny Depp	1963-, American actor and heart-throb. From Cry-Baby to The Man Who Cried - he's as smooth as Chocolat. [Core Expansion 3, Party Box Expansion 1]
Jonah & The Whale	The greatest fish story ever told, in the Bible, that is. [Core Expansion 4, Party Box Expansion 1]
Judge Judy	Ms. Sheindlin presides over real-life cases on this TV courtroom show. "I'm the boss, applesauce!" [Core Expansion 2, Party Box]
Julia Roberts	1967-, American actor and Pretty Woman. Also starred in Steel Magnolias, My Best Friend's Wedding, and Erin Brockovich. [Core Expansion 2, Party Box]
Junk Mail	Contests, credit card applications, solicitations and political ads. [Core Expansion 2, Party Box]
Junkyard Dogs	Not as mean as bad, bad Leroy Brown. [Core Expansion 3, Party Box Expansion 1]
Jupiter	Story Problem: If one year on Jupiter equals 11.86 Earth years, and one day equals 9.92 Earth hours, how many Earth hours are there in a Jupiter year? [Core Expansion 2, Party Box]
Jurassic Park	1993 film based on Michael Chrichton's book about dinosaurs brought back to life, with Oscar-winning visual effects. [Core Expansion 3, Party Box Expansion 1]
Katherine Hepburn	1909-2003, American actor and winner of four Academy Awards. She starred in such classics as The African Queen. [Core Set, Party Box]
Keanu Reeves	1964- , American actor of Bill And Ted's Excellent Adventure, The Matrix and Speed. Keanu means "cool breeze over the mountains." [Core Expansion 2, Party Box]
Killer Whales	Black and white predatory whales. Boy, can they sing! [Core Set, Party Box]
Kilts	If Mel Gibson can wear one, so can you. [Core Expansion 2, Party Box]
King Arthur	Legendary British king best known for Camelot and round tables. [Core Expansion 1, Party Box]
King Henry VIII	1491-1547, King of England, and founder of the Church of England. Six wives, no waiting. [Core Set, Party Box]
King Tut	Boy king who ruled Egypt from 1333 to 1323 B.C., known for the great wealth of objects found in his tomb. He took it with him. [Core Expansion 3, Party Box Expansion 1]
Kiss & Tell	Best to keep your mouth shut. [Core Expansion 4, Party Box Expansion 1]
Kittens	Baby cats, usually playful and fuzzy. Meow. [Kids Set]
Knife & Fork	Knife on the right, fork on the left. [Core Expansion 4, Party Box Expansion 1]
Knitting Needles	Knit one, pearl two . . . [Core Expansion 3, Party Box Expansion 1]
Knock-Knock Jokes	Who's there? [Core Expansion 1, Party Box]
Labor Unions	Look for the Union label. And, while you're at it, look for Jimmy Hoffa ... [Core Expansion 1, Party Box]
Lady & The Tramp	The 1955 Disney animated film featuring dogs, love and spaghetti. [Core Expansion 4, Party Box Expansion 1]
Lance Armstrong	1971-, American cyclist, cancer survivor and winner of the Tour De France - brought new meaning to the phrase "Going Postal." [Core Expansion 3, Party Box Expansion 1]
Large Mouth Bass	Oh, please, let it not sing ... [Core Expansion 2, Party Box]
Las Vegas	The first casino opened in Las Vegas in 1946. Las Vegas ... or it that Lost Wages?" [Core Set, Party Box]
Lassie	A famous collie, Lassie starred in her own TV show. What's that you say Lassie? Little Timmy's fallen down the well? [Core Expansion 3, Party Box Expansion 1]
Last Night	About last night . . . [Core Expansion 3, Party Box Expansion 1]
Last Will & Testament	It may be your only chance to get the last work on anything. [Core Expansion 4, Party Box Expansion 1]
Laurel & Hardy	Classic fat-skinny comedy duo of the 1920s. [Core Expansion 4, Party Box Expansion 1]
Laverne & Shirley	The 1970s sitcom phenomenon that defined Milwaukee for the world. And Milwaukee's still trying to live it down! [Core Expansion 4, Party Box Expansion 1]
Law & Order	The television show, or the concept. [Core Expansion 4, Party Box Expansion 1]
Lawyers	We'd throw some joke in here, but we're afraid of getting sued. [Core Set, Party Box]
Leaf Blowers	Toro, Toro, Toro! [Core Expansion 2, Party Box]
Learning To Ski	Put on the ski boots, then the skis, then get up to the top of the hill... [Junior Set (2nd)]
Leather	Animal hide. Leather you like it or not. [Core Set, Party Box]
Leather & Lace	It's a texture thing. [Core Expansion 4, Party Box Expansion 1]
Leeches	Any mention of lawyers, agents, or reporters would be FAR too easy ... [Core Expansion 1, Party Box]
Legs	People have them, animals have them, even tables have them. [Junior Set (2nd)]
Lemon & Lime	Pucker up. [Core Expansion 4, Party Box Expansion 1]
Lemon Meringue Pie	Tart, sweet and smooth. [Core Expansion 3, Party Box Expansion 1]
Lemons	When life gives you lemons, make lemonade ... or, in the case of a car, take it back. There's a law, you know! [Core Expansion 1, Party Box]
Lenin's Tomb	We'd love to visit Lenin's Tomb, but it's probably just another communist plot. [Core Expansion 2, Party Box]
Leonardo Da Vinci	1452-1519, Florentine artist, sculptor, architect, engineer, scientist, and all-around smartypants. [Core Set, Party Box]
Lethal Injection	It's a killer. [Core Expansion 3, Party Box Expansion 1]
Lewis & Clark	The early 1800s expedition covered over 8000 miles and confirmed that the Louisiana Purchase was a very good deal. [Core Expansion 4, Party Box Expansion 1]
Liberty & Justice	For all. [Core Expansion 4, Party Box Expansion 1]
Lifeguard	A person whose job it is to help and protect swimmers. [Kids Set]
Lightning	Electrical discharge between rain clouds, or between a rain cloud and the earth, or between a rain cloud and an idiot with a kite. [Core Set, Party Box]
Linguine With Clam Sauce	Pass the parmesan . . . [Core Expansion 3, Party Box Expansion 1]
Lions & Tigers	And bears... [Core Expansion 4, Party Box Expansion 1]
Liposuction	Fatty tissue? That sucks . . . [Core Expansion 3, Party Box Expansion 1]
Little Brown Mice	EEEK! [Junior Set (2nd)]
Liver And Onions	An acquired taste. [Core Expansion 3, Party Box Expansion 1]
Llamas	South American animal related to the camel, raised for wool, and used as pack animals. [Junior Set (1st) & (2nd)]
Loan Sharks	As dangerous as "Jaws", but without the charisma. [Core Expansion 2, Party Box]
Lobster	Crustaceans closely related to freshwater crayfishes. Market price. [Core Set, Party Box]
Local Police	They know who you are and they know where you live. [Core Expansion 2, Party Box]
Loch Ness Monster	"Nessie," the legendary beast of Loch Ness, Scotland. It must be real, they have pictures. [Core Expansion 3, Party Box Expansion 1]
Lock & Key	Quit picking on me! [Core Expansion 4, Party Box Expansion 1]
Lock & Load	It's off to war we go. [Core Expansion 4, Party Box Expansion 1]
Log Cabins	Among the many Americans born in log cabins were Preisdents Harrison, Lincoln, and Grant. Just pass the maple syrup. [Core Expansion 2, Party Box]
Lollipops	Sucker! [Core Set, Party Box]
London	Founded even before the Romans reached England's shores, now the capital of Great Britain. [Core Set, Party Box]
Looking For A Job	Will work for fool ... [Core Expansion 2, Party Box]
Looney Tunes	Warner Brothers cartoons featuring Porky Pig and Bugs Bunny. [Core Expansion 3, Party Box Expansion 1]
Los Angeles	LA LA Land. [Core Expansion 2, Party Box]
Losing Your Job	They just didn't understand me! [Core Expansion 1, Party Box]
Love & Marriage	First comes love, then comes marriage... [Core Expansion 4, Party Box Expansion 1]
Lox & Bagels	A deli favorite. Pass the cream cheese! [Core Expansion 4, Party Box Expansion 1]
Lucille Ball	1911-89, American actor and comedian. You love Lucy? I love Lucy. [Core Set, Party Box]
Lucy & Desi	Thirty years later and we still love Lucy. [Core Expansion 4, Party Box Expansion 1]
M & M's	Candy coated chocolates first sold in 1941. Now available in purple. [Core Expansion 4, Party Box Expansion 1]
Macaroni & Cheese	It's the easiest. [Core Expansion 4, Party Box Expansion 1]
Machine Guns	Automatic, rapid-fire, repeating weapons. The Gatling gun was used as early as the American Civil War. [Core Set, Party Box]
Mad Cow Disease	Degenerative brain disorder in cattle. The reason they don't know enough to come in out of the rain? [Core Expansion 1, Party Box]
Madame Curie	1867-1934, French chemist and physicist who won a Nobel Prize for her work on radiation. Fun fact: A "curie" is a unit of radioactivity. [Core Expansion 2, Party Box]
Madonna	1958-, American singer, songwriter, actor, writer, and 1980s pop icon. Blond Ambition. [Core Set, Party Box]
Mae West	1892-1980, American stage and film comedian. "Too much of a good thing can be wonderful." [Core Expansion 3, Party Box Expansion 1]
Maggots	I though it was rice. [Core Expansion 3, Party Box Expansion 1]
Magic Tricks	"Nothin' up my sleeve ..." - Bullwinkle [Core Expansion 2, Party Box]
Mahatma Gandhi	1869-1948, Indian leader and philosopher who preached nonviolence. Was assassinated for his efforts. [Core Set, Party Box]
Manhattan	I'll take Manhattan!. [Core Expansion 2, Party Box]
Maple Syrup	Made from the sweet sap of the maple tree or black maple tree, produced only in North America - a "must have" for pancakes. [Core Expansion 3, Party Box Expansion 1]
Mardi Gras	Fat Tuesday marks the final day before the Christian fast of Lent, a 40-day period of self-denial and abstinence. SO LET'S PARTY! [Core Expansion 2, Party Box]
Marilyn Monroe	1926-62, American movie star, pinup and sex symbol. Just ask the Kennedys. [Core Set, Party Box]
Marlon Brando	1924-, legendary America actor who starred in A Streetcar Named Desire and won awards for On the Waterfront and The Godfather. [Core Expansion 3, Party Box Expansion 1]
Mars	The fourth planet from the sun. Where men come from. [Core Expansion 1, Party Box]
Mark Twain	1835-1910, American writer and humorist, best known for the adventures of Tom Sawyer and Huckleberry Finn. [Core Set, Party Box]
Marriage	If love and marriage go together like a horse and carriage ... who's the horse? [Core Set, Party Box]
Martha Stewart	1941-, television personality, magazine editor, and author. Domestic arts are her stock-in-trade. [Core Set, Party Box]
Martin Luther King, Jr.	1929-68, American civil rights leader and advocate of nonviolent resistance. Was assassinated for his efforts. [Core Set, Party Box]
Mary-Kate And Ashley	The Olsen twins have been TV stars since the 1980s. They also have books and videos. [Junior Set (1st) & (2nd)]
Math	Add, subtract, multiply and divide- or use a calculator! [Junior Set (1st) & (2nd)]
Matzo Balls	Soul for the chicken soup. [Core Expansion 3, Party Box Expansion 1]
Maui	Hawaiian volcanic island, 728 square feet in area. Heaven on Earth. [Core Expansion 3, Party Box Expansion 1]
Maximum Security Prison	When a regular strength prison just won't do. [Core Expansion 3, Party Box Expansion 1]
Me & My Shadow	"Strolling down the avenue..." [Core Expansion 4, Party Box Expansion 1]
Meat & Potatoes	A simpler meal for a simpler time. [Core Expansion 4, Party Box Expansion 1]
Meat Cleavers	No relation to Ward, June, or the Beaver ... [Core Expansion 2, Party Box]
Meat Markets	A cut above the rest. [Core Expansion 3, Party Box Expansion 1]
Meatloaf	Large and intimidating -the dish not the singer! [Core Expansion 1, Party Box]
Meg Ryan	1961- , American actor and girl-next-door star of When Harry Met Sally, Sleepless In Seattle, and You've Got Mail. [Core Expansion 2, Party Box]
Mel Gibson	1956-, Australian actor. Known for The Road Warrior, Braveheart and :eatha; Weapon I, II, III, IV ... [Core Expansion 1, Party Box]
Men	REAL Men. [Core Expansion 2, Party Box]
Men In Black	We're not here. You don't see us. The government did NOT send us. [Core Expansion 1, Party Box]
Mensa High IQ Society	Members have IQ's in the top 2% of the population. [Core Expansion 3, Party Box Expansion 1]
Meryl Streep	1959-, accomplished American actor, two-time Oscar winner, with over a dozen Academy Award nominations. [Core Expansion 2, Party Box]
Mexico	Federal republic in North America. The capital and largest city is Mexico City. [Core Set, Party Box]
Mice	"The best-laid schemes o' mice an' men ..." -Robert Burns [Core Set, Party Box]
Michael Jackson	1958-, American popular singer, dancer, and songwriter. Welcome to Neverland. [Core Set, Party Box]
Michael Jordon	1963- , American professional basketball legend, led Chicago to six world championships. No bull. [Core Set, Party Box]
Michelangelo	1475-1564, inspired Italian sculptor, architect, painter, and poet. A REAL Renaissance man. [Core Expansion 1, Party Box]
Michelle Pfeiffer	1957-, American actor whose career began with Grease 2. She'd like us to forget that but remember her Oscar nominations. [Core Set, Party Box]
Mickey & Minnie	Mouse, that is. Disney's dynamic duo. [Core Expansion 4, Party Box Expansion 1]
Microsoft	A leading American software company. We'd say more but we don't want to monopolize your time ... [Core Expansion 2, Party Box]
Midlife Crisis	"Here comes your 19th nervous breakdown ..." -The Rolling Stone [Core Expansion 1, Party Box]
Migraine Headaches	Not just any headache. [Core Expansion 3, Party Box Expansion 1]
Mike Tyson	1966- , American heavyweight boxer. Lend him your ear ... [Core Set, Party Box]
Miles Davis	1926-91, innovative, influential, and respected American jazz trumpter player and band layer. [Core Expansion 1, Party Box]
Milk	Three glasses a day will give you ... the gratitude of the dairy industry. [Core Set, Party Box]
Milk & Cookies	The ultimate after-school special. [Core Expansion 4, Party Box Expansion 1]
Milk Duds	Chocolate and caramel candy balls. Tooth extractions at no extra charge! [Core Expansion 2, Party Box]
Milwaukee	The Genuine American City. It's come along way since Laverne and Shirley. [Core Expansion 3, Party Box Expansion 1]
Minneapolis & St. Paul	The "Twin Cities" are Minnesota's largest population center. They may be twins but you can tell the difference. [Core Expansion 4, Party Box Expansion 1]
Mirrors	And now, a moment for reflection. [Core Set, Party Box]
Mold	Fuzzy growth produced on organic matter by several types of fungi. Particularly attracted to students' refrigerators [Core Set, Party Box]
Mom & Apple Pie	Worth fighting for. [Core Expansion 4, Party Box Expansion 1]
Mom & Pop	Hey! Maybe they should open a store! [Core Expansion 4, Party Box Expansion 1]
Mom's Cooking	Just like Mom USED to make. [Core Expansion 3, Party Box Expansion 1]
Money	"The best things in life are free/ But you can give them to the birds and bees/ Just give me money ..." -Bradford and Gordy [Core Set, Party Box]
Monitor & The Merrimac	American Civil War ironclads, first fought each other in 1862. [Core Expansion 4, Party Box Expansion 1]
Monkeys	Monkeys see . . . [Core Expansion 3, Party Box Expansion 1]
Monster Trucks	Large, noisy trucks that drive over cars and crush them. [Kids Set]
Moon & The Stars	You want what? [Core Expansion 4, Party Box Expansion 1]
Morticians	Why do you hang around with THOSE stiffs ...? [Core Set, Party Box]
Mosquitoes	They suck. [Core Expansion 1, Party Box]
Motorcycles	The air in your hair and bugs in your teeth. [Core Expansion 2, Party Box]
Mount Rushmore	Memorial carved into the side of the Black Hills in South Dakota. Heads above all other monuments. [Core Expansion 1, Party Box]
Mount Vesuvius	Italian volcano that rises above the Bay of Naples and blew its top in 79 A.D., much to Pompeii's regret. [Core Expansion 3, Party Box Expansion 1]
Mountains	Very high hills. Some have snow at the top, even in the summer! [Kids Set]
MTV	"Video killed the radio star." -The Buggles [Core Expansion 1, Party Box]
Mud	Water. Dirt. You do the math. [Core Set, Party Box]
Muddy Feet	Squish your toes! [Kids Set]
Mudslides	Chocolate drink or natural disaster ... both occur frequently in California. [Core Expansion 2, Party Box]
Muhammad Ali	1942- , American heavyweight boxing champion. "Floats like a butterfly, stings like a bee." [Core Expansion 1, Party Box]
Music	Pick your favorite: country, pop, rock, rap, hip hop, jazz, or classical. [Junior Set (1st) & (2nd)]
Musicals	South Pacific, The King and I, The Sound of Music, A Chorus Line, Cats, Rent ... [Core Expansion 2, Party Box]
Mutual Funds	Mutually benefits you and your broker. [Core Expansion 3, Party Box Expansion 1]
My 16th Birthday	Dad, can I have the keys to the car, please? [Core Set, Party Box]
My Bank Account	Speaking of theoretical mathematics and unreal numbers ... [Core Set, Party Box]
My Bathroom	"The bathroom was drenched with their splashings" -Aldous Huxley [Core Set, Party Box]
My Bedroom	"No one knows what goes on behind closed doors." -Charlie Rich [Core Set, Party Box]
My Body	Mine is a Junior Setle. Specifically, the Junior Setle of Doom ... [Core Set, Party Box]
My Boss	... is an idiot. You know it; we know it. [Core Set, Party Box]
My Dreams	"What dreams may come ..." -Shakespeare's Hamlet [Core Expansion 1, Party Box]
My Family	They'll drive you nuts. As long as you do the same to them, it's all even. [Core Set, Party Box]
My Father	"Go ask your mother." [Core Expansion 3, Party Box Expansion 1]
My First Kiss	Sparks were flying. Of course, that could have been the braces ... [Core Set, Party Box]
My Friends	With friends like there, who needs enemies? [Core Expansion 2, Party Box]
My Future	"The future's so bright, I gotta wear shades ..." -Timbuk-3 [Core Set, Party Box]
My Grandpa	My mom or dad's father. [Kids Set]
My Hair	Hair today, gone tomorrow ... [Core Set, Party Box]
My High School Prom	As if adolescence isn't awkward and painful enough ... [Core Set, Party Box]
My Job	Love it or leave it. [Core Set, Party Box]
My Life	"There are places I'll remember/ All my life/ though some have changed . . ." - The Beatles [Core Expansion 3, Party Box Expansion 1]
My Love Life	"All you need is love ..." -The Beatles [Core Set, Party Box]
My Memories	Thanks for the memories . . . [Core Expansion 3, Party Box Expansion 1]
My Mind	It's a terrible thing to waste. [Core Set, Party Box]
My Mother	"Go ask your father." [Core Expansion 3, Party Box Expansion 1]
My Neighborhood	"Please, won't you be my neighbor?" -Fred Rogers [Core Expansion 1, Party Box]
My Past	What's past is past ... unless you're a politician ... [Core Set, Party Box]
My Personality	"I'm good enough, smart enough and, gosh darn it, people like me." -Stewart Smalley played by Al Franken [Core Expansion 1, Party Box]
My Refrigerator	It's a science experiment! [Core Expansion 1, Party Box]
My School	"Be true to your school." [Junior Set (1st) & (2nd)]
My Stuffed Animals	The dog's name is Lucky, the bear is Teddy, and the duck is Quacker. [Junior Set (2nd)]
My Town	Large or small, it's home. [Junior Set (2nd)]
Napoleon Bonaparte	1769-1821, Emperor of France. Met his Waterloo at the Battle of Waterloo. The name should have tipped him off ... [Core Set, Party Box]
NASA	National Aeronautics and Space Administration, established in 1958 in part in response to the U.S.S.R. launching Sputnik. [Core Expansion 3, Party Box Expansion 1]
NASCAR	Stock car racing began after World War II, breaking records for speed and for the number of advertisements on a single jacket. [Core Expansion 1, Party Box]
Nashville	Capital of Tennessee and capital of country music - also known as Nash Vegas. [Core Expansion 3, Party Box Expansion 1]
Neil Simon	1927-, American producer, playwright, and screenwriter of The Odd Couple, Biloxi Blues, The Sunshine Boys, California Suite, and many more. [Core Expansion 2, Party Box]
New Orleans	The Big Easy. [Core Set, Party Box]
New Shoes	Make you feel like dancing ... [Core Expansion 1, Party Box]
New York City	America's most populous city. So good, they named it twice. [Core Set, Party Box]
New Yorkers	Brash, brawny and full of bravado. [Core Expansion 3, Party Box Expansion 1]
Niagara Falls	Niagara Falls was formed about 12,000 years ago, when glaciers retreated north, and honeymooners approached from the south. [Core Expansion 1, Party Box]
Nicholas Cage	1964- , American actor known for his edgy characters in Leaving Los Vegas, Raising Arizona, and Moonstruck. [Core Expansion 2, Party Box]
Ninjas	Teenage mutant turtles need not apply. [Core Expansion 1, Party Box]
Nirvana	A state of supreme spiritual bliss and liberation. And then there's the band . . . [Core Expansion 3, Party Box Expansion 1]
Nobel Peace Prize	Established by Alfred Nobel. Swedish industrialist and inventor of dynamite. Led to an explosion of peace efforts. [Core Expansion 1, Party Box]
Noisy Neighbors	WHAT? I CAN'T HEAR YOU! [Core Expansion 2, Party Box]
Normal Rockwell	1894-1978, American painter, illustrator and all-around interpreter of small town American life. [Core Set, Party Box]
North & South Dakota	It's all north. [Core Expansion 4, Party Box Expansion 1]
Nosebleeds	Keep your chin up. [Core Expansion 3, Party Box Expansion 1]
*NSYNC	Popular boy band known for their dance routines and harmonies. Bye, Bye, Bye our albums! [Core Expansion 3, Party Box Expansion 1]
Nuclear Power Plants	"You've turned a potential Chernobyl into a mere Three Mile Island." -Montgomery Burns, "The Simpsons" [Core Expansion 1, Party Box]
Nuts & Bolts	A good way to stay connected. [Core Expansion 4, Party Box Expansion 1]
NYPD	The New York Police Department. They're so good, they have their own TV show. [Core Expansion 1, Party Box]
Octopus	A sea animal with a soft, round body and eight long arms, called tentacles. [Junior Set (1st) & (2nd)]
Odds & Ends	It's in the junk drawer. [Core Expansion 4, Party Box Expansion 1]
Oil & Filter	Let me top that off for you. [Core Expansion 4, Party Box Expansion 1]
Oil & Vinegar	They don't mix, but we keep trying. [Core Expansion 4, Party Box Expansion 1]
Oil Spills	The American oil tanker, Exxon Valdez, went aground in Prince William Sound, Alaska, Mar. 24, 1989. Slick Move. [Core Expansion 1, Party Box]
Old Age	It looks good when you consider the alternative. [Core Expansion 3, Party Box Expansion 1]
Olive Oil	Derived from fresh ripe fruit, which contain about 20% oil. Better than "olive" the other oils. [Core Set, Party Box]
On-Line Shopping	Enter your credit card number now. This is a secure site ... Sure it is ... [Core Expansion 2, Party Box]
Oprah Winfrey	1954- , Television talk show host, actor and all-around American success story. [Core Set, Party Box]
Oral Surgery	You said a mouthful. [Core Expansion 2, Party Box]
Oranges	Face it ... nothing rhymes with orange. [Core Set, Party Box]
Ordinary People	Nothing special. [Core Expansion 3, Party Box Expansion 1]
Owls	Birds with large eyes and heads. They eat mice and snakes. Hoot-hoot. [Kids Set]
Oxygen	Oxygen was discovered in 1774. You'd think someone would have noticed it earlier. [Core Set, Party Box]
Pablo Picasso	1881-1973, Spanish painter and sculptor, one of the greatest artists of the 20th century. If only he could draw eyes ... [Core Set, Party Box]
Pail & Shovel	I can dig it. [Core Expansion 4, Party Box Expansion 1]
Pajamas	Clothes you sleep in. Some have feet! [Kids Set]
Panda Bears	In China they're called "Xiongmao" which means giant cat bear. [Junior Set (1st) & (2nd)]
Panning For Gold	The dot-coms of the 1840s . . . [Core Expansion 3, Party Box Expansion 1]
Parachutes	Put this on your back, jump out of the plane, and pull the cord. Ready? [Junior Set (2nd)]
Parenting	The process of discovering you are becoming just like YOUR parents. [Core Set, Party Box]
Paris, France	The governmental, cultural and gastronomic capital of France. Or the world. Just ask the French. [Core Set, Party Box]
Paul McCartney & Wings	Life after The Beatles. [Core Expansion 4, Party Box Expansion 1]
Paying Bills	Also known as "Debt Restructuring." [Core Set, Party Box]
Paying Taxes	Death or Taxes? Do we have to choose right away? [Core Set, Party Box]
Peace & Love	Flower Power! [Core Expansion 4, Party Box Expansion 1]
Peace & Quiet	Truly appreciated during parenthood. [Core Expansion 4, Party Box Expansion 1]
Peaches & Cream	A great complexion and a great dessert. [Core Expansion 4, Party Box Expansion 1]
Peanut Butter	A soft, creamy spread made from peanuts. Sometimes it sticks to the roof of your mouth. [Kids Set]
Peanut Butter & Jelly	On white bread; cut off the crusts. [Core Expansion 4, Party Box Expansion 1]
Peanuts & Popcorn	It's a crackerjack combination! [Core Expansion 4, Party Box Expansion 1]
Pebbles & Bamm-Bamm	The cartoon Kids Set from The Flintstones. BAM-BAM, BAM-BAM, BAM-BAM. [Core Expansion 4, Party Box Expansion 1]
Pencil & Paper	We're drawn to them! [Core Expansion 4, Party Box Expansion 1]
Penguins	Flightless, aquatic birds that reside in the Southern Hemisphere. All dressed up and no place to go. [Core Expansion 1, Party Box]
Penn & Teller	Magicians, illusionists, entertainers, and comedians. [Core Expansion 4, Party Box Expansion 1]
Peppers	Sweet and crunchy, or hot and spicy! [Junior Set (1st) & (2nd)]
Peter Pan	A book and movie character who could fly. He never wanted to grow up! [Kids Set]
Pez Dispensers	Collectable candy dispensers first being sold in 1952. Believe it or not, there has never been an Elvis Pez dispenser. [Core Expansion 3, Party Box Expansion 1]
Phone & Fax	Soon you won't need to leave the house at all! [Core Expansion 4, Party Box Expansion 1]
Picking Your Nose	Noses run in our family. [Core Set, Party Box]
Picnics	Pack up your food and a blanket, and go to your favorite park or beach. [Kids Set]
Pigeons	Birds with small heads, short necks, stout bodies, and an incredible attraction to statues. [Core Set, Party Box]
Pigs	Domesticated mammal of the swine family. Thaaa ... thaaa ... that's all, folks! [Core Set, Party Box]
Pillow Fights	He started it! [Junior Set (2nd)]
Pilots	"Welcome aboard. Today we'll be flying at 30,000 feet." [Junior Set (2nd)]
Pi¤atas	Papier-mƒch‚ animals filled with candy and whacked with a stick. [Junior Set (2nd)]
Pine Trees	Trees that stay green all year and have pinecones and needles. They smell great! [Kids Set]
Pineapple	Tropical fruit, or the less lush hand grenade. [Core Expansion 3, Party Box Expansion 1]
Pink Flamingos	Gracing America's lawns for more than 40 years - sold only in pairs. [Core Expansion 3, Party Box Expansion 1]
